Certificate Number,Certificate Holder,Scope,Certificate Type
01 111 126586,"Aalberts Surface Technologies (Shanghai)Co., Ltd.No. 4 and 5 Workshop,No.2, No. 4 and 5 Workshop,No. 8618, Songe Avenue, Qingpu Industry Zone,Shanghai201707 ShanghaiChina (Mainland)",Coating Processing of Fasteners 紧固件的涂覆加工,"IATF 16949 Standard for Quality Management Systems for the Automotive Supplier Industry The automotive QMS Standard, IATF 16949, is a quality management standard for the automotive supplier industry, issued by the International Automotive Task Force (IATF). IATF 16949, along with applicable automotive customer-specific requirements, ISO 9001:2015 requirements, and ISO 9000:2015 defines the fundamental quality management system requirements for automotive production and relevant service parts organizations. As such this Automotive QMS Standard cannot be considered a stand-alone QMS Standard but has to be comprehend as a supplement to and used in conjunction with ISO 9001:2015. ISO 9001:2015 is published as a separate ISO Standard. IATF 16949 outlines the requirements for product development, manufacture and, where applicable assembly. The certification always applies to one production site. Expert auditors analyze and evaluate the customers' organization. If all necessary requirements are fulfilled, the site is certified according to ISO TS 16949. The management system at the organisation is subject to periodic surveillance. Certified organizations may use the test mark in their communications. More information on this service: https://www.tuv.com/world/en/automotive-iso-ts-16949-and-iatf-16949-certification.html"
01 111 080009/01,Aalberts Surface Technologies GmbHLutherstr. 1808297 ZwönitzGermany,Manufacturing of electroplating coatings Herstellung von galvanotechnischen Beschichtungen,"IATF 16949 Standard for Quality Management Systems for the Automotive Supplier Industry The automotive QMS Standard, IATF 16949, is a quality management standard for the automotive supplier industry, issued by the International Automotive Task Force (IATF). IATF 16949, along with applicable automotive customer-specific requirements, ISO 9001:2015 requirements, and ISO 9000:2015 defines the fundamental quality management system requirements for automotive production and relevant service parts organizations. As such this Automotive QMS Standard cannot be considered a stand-alone QMS Standard but has to be comprehend as a supplement to and used in conjunction with ISO 9001:2015. ISO 9001:2015 is published as a separate ISO Standard. IATF 16949 outlines the requirements for product development, manufacture and, where applicable assembly. The certification always applies to one production site. Expert auditors analyze and evaluate the customers' organization. If all necessary requirements are fulfilled, the site is certified according to ISO TS 16949. The management system at the organisation is subject to periodic surveillance. Certified organizations may use the test mark in their communications. More information on this service: https://www.tuv.com/world/en/automotive-iso-ts-16949-and-iatf-16949-certification.html"
01 100 110028,Aalberts Surface Technologies GmbHZeppelinstr. 1363667 NiddaGermany,Surface coatings based on Fluorpolymers and Plastics Oberflächenbeschichtung auf Basis von Fluorpolymeren und Kunststoffen,"ISO 9001 Quality Management System ISO 9001 Standard for Quality Management Systems ISO 9001 is a voluntary standard for quality management systems, issued by ISO, the International Organization for Standardization. ISO 9001 has been designed to help organizations ensure that they meet customers' needs and that quality is consistently improved. The quality management system showing the TÜV Rheinland mark is audited and certified by TÜV Rheinland. Expert auditors analyze and evaluate the customers' organization. If all necessary requirements are fulfilled, the organization is certified according to ISO 9001. The quality management system of the organization is subject to periodic surveillance. Certified organizations may use the test mark in their communications. More information on this service: ISO 9001"
01 100 0100282,Aalberts Surface Technologies GmbHJeschkenweg 2887600 KaufbeurenGermany,Surface technology and coating of parts Oberflächenbehandlung und Beschichtung von Teilen,"ISO 9001 Quality Management System ISO 9001 Standard for Quality Management Systems ISO 9001 is a voluntary standard for quality management systems, issued by ISO, the International Organization for Standardization. ISO 9001 has been designed to help organizations ensure that they meet customers' needs and that quality is consistently improved. The quality management system showing the TÜV Rheinland mark is audited and certified by TÜV Rheinland. Expert auditors analyze and evaluate the customers' organization. If all necessary requirements are fulfilled, the organization is certified according to ISO 9001. The quality management system of the organization is subject to periodic surveillance. Certified organizations may use the test mark in their communications. More information on this service: ISO 9001"
01 111 0100282,Aalberts Surface Technologies GmbHJeschkenweg 2887600 KaufbeurenGermany,Surface technology and coating of parts Oberflächenbehandlung und Beschichtung von Teilen,"IATF 16949 Standard for Quality Management Systems for the Automotive Supplier Industry The automotive QMS Standard, IATF 16949, is a quality management standard for the automotive supplier industry, issued by the International Automotive Task Force (IATF). IATF 16949, along with applicable automotive customer-specific requirements, ISO 9001:2015 requirements, and ISO 9000:2015 defines the fundamental quality management system requirements for automotive production and relevant service parts organizations. As such this Automotive QMS Standard cannot be considered a stand-alone QMS Standard but has to be comprehend as a supplement to and used in conjunction with ISO 9001:2015. ISO 9001:2015 is published as a separate ISO Standard. IATF 16949 outlines the requirements for product development, manufacture and, where applicable assembly. The certification always applies to one production site. Expert auditors analyze and evaluate the customers' organization. If all necessary requirements are fulfilled, the site is certified according to ISO TS 16949. The management system at the organisation is subject to periodic surveillance. Certified organizations may use the test mark in their communications. More information on this service: https://www.tuv.com/world/en/automotive-iso-ts-16949-and-iatf-16949-certification.html"
01 104 0100282,Aalberts Surface Technologies GmbHJeschkenweg 2887600 KaufbeurenGermany,"Surface Technology and Coating (Anodizing, Hard Anodizing, Polymer Coating) Beschichtung von Bauteilen (Anodische Oxidation, Eloxal, Harteloxal, Polymerbeschichtungen)","ISO 14001 Management System ISO 14001 Standard for Environmental Management Systems ISO 14001 is a voluntary standard for environmental management systems, issued by ISO, the International Organization for Standardization. ISO 14001 provides a systematic approach for improving environmental performance, rather than simply meeting legal requirements. The environmental management system showing the TÜV Rheinland mark is audited and certified by TÜV Rheinland. Expert auditors analyse and evaluate the customers' organisation. If all necessary requirements are fulfilled, the organisation is certified according to ISO 14001. The environmental management system at the organisation is subject to periodic surveillance. Certified organisations may use the test mark in their communications. More information on this service: http://www.tuv.com/en/corporate/business_customers/management_system/environment_and_energy/iso14001/iso14001.jsp"
01 407 0100282,Aalberts Surface Technologies GmbHJeschkenweg 2887600 KaufbeurenGermany,"Surface Technology and Coating (Anodizing, Hard Anodizing, Polymer Coating) Beschichtung von Bauteilen (Anodische Oxidation, Eloxal, Harteloxal, Polymerbeschichtungen)","ISO 50001 Standard for Energy Management Systems ISO 50001 is a voluntary, international standard for the evaluation and certification of energy management systems, issued by ISO, the International Organization for Standardization. ISO 50001 establishes a framework for industrial plants, commercial, institutional and governmental facilities, and entire organisations to manage energy and become more energy efficient. The energy management system showing the TÜV Rheinland mark is audited and certified by TÜV Rheinland. Expert auditors analyse and evaluate the customers' organisation. If all necessary requirements are fulfilled, the organisation is certified according to ISO 50001. The energy management system at the organisation is subject to periodic surveillance. Certified organisations may use the test mark in their communications. More information on this service here."
01 100 1700557,Aalberts Surface Technologies GmbHKraichgaublick 2174847 ObrigheimGermany,Treatment and coating of surfaces of metallic and non-metallic products with high-grade wheel slide and corrosion protection system as well as special coatings to ensure functionality and sealing Behandlung und Beschichtung von Oberflächen metallischer und nichtmetallischer Produkte mit hochwertigem Gleit- und Korrosionsschutzsystem sowie Spezialbeschichtungen zur Funktionssicherung und Abdichtung traitement et revêtement de surfaces des produits métalliques et non métalliques d'un système anti-ballotement et protection anticorrosion de haute qualité aussi bien que revêtements spéciaux pour la protection de fonctionnement et l'étanchéité,"ISO 9001 Quality Management System ISO 9001 Standard for Quality Management Systems ISO 9001 is a voluntary standard for quality management systems, issued by ISO, the International Organization for Standardization. ISO 9001 has been designed to help organizations ensure that they meet customers' needs and that quality is consistently improved. The quality management system showing the TÜV Rheinland mark is audited and certified by TÜV Rheinland. Expert auditors analyze and evaluate the customers' organization. If all necessary requirements are fulfilled, the organization is certified according to ISO 9001. The quality management system of the organization is subject to periodic surveillance. Certified organizations may use the test mark in their communications. More information on this service: ISO 9001"
01 407 1700557,Aalberts Surface Technologies GmbHKraichgaublick 2174847 ObrigheimGermany,Treatment and coating of surfaces of metallic and non-metallic products with high-grade wheel slide and corrosion protection system as well as special coatings to ensure functionality and sealing Behandlung und Beschichtung von Oberflächen metallischer und nichtmetallischer Produkte mit hochwertigem Gleit- und Korrosionsschutzsystem sowie Spezialbeschichtungen zur Funktionssicherung und Abdichtung. traitement et revêtement de surfaces des produits métalliques et non métalliques d'un système anti-ballotement et protection anticorrosion de haute qualité aussi bien que revêtements spéciaux pour la protection de fonctionnement et l'étanchéité,"ISO 50001 Standard for Energy Management Systems ISO 50001 is a voluntary, international standard for the evaluation and certification of energy management systems, issued by ISO, the International Organization for Standardization. ISO 50001 establishes a framework for industrial plants, commercial, institutional and governmental facilities, and entire organisations to manage energy and become more energy efficient. The energy management system showing the TÜV Rheinland mark is audited and certified by TÜV Rheinland. Expert auditors analyse and evaluate the customers' organisation. If all necessary requirements are fulfilled, the organisation is certified according to ISO 50001. The energy management system at the organisation is subject to periodic surveillance. Certified organisations may use the test mark in their communications. More information on this service here."
01 104 1700557,Aalberts Surface Technologies GmbHKraichgaublick 2174847 ObrigheimGermany,Treatment and coating of surfaces of metallic and non-metallic products with high-grade wheel slide and corrosion protection system as well as special coatings to ensure functionality and sealing. Behandlung und Beschichtung von Oberflächen metallischer und nichtmetallischer Produkte mit hochwertigem Gleit- und Korrosionsschutzsystem sowie Spezialbeschichtungen zur Funktionssicherung und Abdichtung. traitement et revêtement de surfaces des produits métalliques et non métalliques d'un système anti-ballotement et protection anticorrosion de haute qualité aussi bien que revêtements spéciaux pour la protection de fonctionnement et l'étanchéité,"ISO 14001 Management System ISO 14001 Standard for Environmental Management Systems ISO 14001 is a voluntary standard for environmental management systems, issued by ISO, the International Organization for Standardization. ISO 14001 provides a systematic approach for improving environmental performance, rather than simply meeting legal requirements. The environmental management system showing the TÜV Rheinland mark is audited and certified by TÜV Rheinland. Expert auditors analyse and evaluate the customers' organisation. If all necessary requirements are fulfilled, the organisation is certified according to ISO 14001. The environmental management system at the organisation is subject to periodic surveillance. Certified organisations may use the test mark in their communications. More information on this service: http://www.tuv.com/en/corporate/business_customers/management_system/environment_and_energy/iso14001/iso14001.jsp"
01 100 110027,Aalberts Surface Technologies GmbHAlbert-Einstein-Str. 1686899 LandsbergGermany,"Surface coatings based on flurpolymers, plasma and plastics Oberflächenbeschichtung auf Basis von Fluorpolymeren, Plasma und Kunststoffen","ISO 9001 Quality Management System ISO 9001 Standard for Quality Management Systems ISO 9001 is a voluntary standard for quality management systems, issued by ISO, the International Organization for Standardization. ISO 9001 has been designed to help organizations ensure that they meet customers' needs and that quality is consistently improved. The quality management system showing the TÜV Rheinland mark is audited and certified by TÜV Rheinland. Expert auditors analyze and evaluate the customers' organization. If all necessary requirements are fulfilled, the organization is certified according to ISO 9001. The quality management system of the organization is subject to periodic surveillance. Certified organizations may use the test mark in their communications. More information on this service: ISO 9001"
01 111 110402/06,Aalberts Surface Technologies GmbHWerk KehlWaseneckstr. 5b77694 KehlGermany,Heat Treatment of series and special parts made of steel and non-ferrous metals Wärmebehandlung von Serien- und Sonderteilen aus Stahl und NE-Metallen,"IATF 16949 Standard for Quality Management Systems for the Automotive Supplier Industry The automotive QMS Standard, IATF 16949, is a quality management standard for the automotive supplier industry, issued by the International Automotive Task Force (IATF). IATF 16949, along with applicable automotive customer-specific requirements, ISO 9001:2015 requirements, and ISO 9000:2015 defines the fundamental quality management system requirements for automotive production and relevant service parts organizations. As such this Automotive QMS Standard cannot be considered a stand-alone QMS Standard but has to be comprehend as a supplement to and used in conjunction with ISO 9001:2015. ISO 9001:2015 is published as a separate ISO Standard. IATF 16949 outlines the requirements for product development, manufacture and, where applicable assembly. The certification always applies to one production site. Expert auditors analyze and evaluate the customers' organization. If all necessary requirements are fulfilled, the site is certified according to ISO TS 16949. The management system at the organisation is subject to periodic surveillance. Certified organizations may use the test mark in their communications. More information on this service: https://www.tuv.com/world/en/automotive-iso-ts-16949-and-iatf-16949-certification.html"
01 104 110402/01,Aalberts Surface Technologies GmbHWalter-Freitag-Str. 2542899 RemscheidGermany,Group Headquarters Heat Treatment of Serial and Special Parts out of Steel and Non-ferrous Metal and Galvanic Surface Finishing Geschäftsleitung und Verwaltung der Gruppe Wärmebehandlung von Serien- und Sonderteilen aus Stahl und NE-Metallen und galvanische Oberflächenveredelung,"ISO 14001 Management System ISO 14001 Standard for Environmental Management Systems ISO 14001 is a voluntary standard for environmental management systems, issued by ISO, the International Organization for Standardization. ISO 14001 provides a systematic approach for improving environmental performance, rather than simply meeting legal requirements. The environmental management system showing the TÜV Rheinland mark is audited and certified by TÜV Rheinland. Expert auditors analyse and evaluate the customers' organisation. If all necessary requirements are fulfilled, the organisation is certified according to ISO 14001. The environmental management system at the organisation is subject to periodic surveillance. Certified organisations may use the test mark in their communications. More information on this service: http://www.tuv.com/en/corporate/business_customers/management_system/environment_and_energy/iso14001/iso14001.jsp"
01 111 110402/08,Aalberts Surface Technologies GmbHWerk DunningenPeter-Birk-Str. 278655 DunningenGermany,"Heat Treatment of Tools, Serial- and Special Parts out of Steel and Non-ferrous Metal and galvanic surface finishing Wärmebehandlung von Serien- und Sonderteilen aus Stahl und NE-Metallen und galvanische Oberflächenveredelung","IATF 16949 Standard for Quality Management Systems for the Automotive Supplier Industry The automotive QMS Standard, IATF 16949, is a quality management standard for the automotive supplier industry, issued by the International Automotive Task Force (IATF). IATF 16949, along with applicable automotive customer-specific requirements, ISO 9001:2015 requirements, and ISO 9000:2015 defines the fundamental quality management system requirements for automotive production and relevant service parts organizations. As such this Automotive QMS Standard cannot be considered a stand-alone QMS Standard but has to be comprehend as a supplement to and used in conjunction with ISO 9001:2015. ISO 9001:2015 is published as a separate ISO Standard. IATF 16949 outlines the requirements for product development, manufacture and, where applicable assembly. The certification always applies to one production site. Expert auditors analyze and evaluate the customers' organization. If all necessary requirements are fulfilled, the site is certified according to ISO TS 16949. The management system at the organisation is subject to periodic surveillance. Certified organizations may use the test mark in their communications. More information on this service: https://www.tuv.com/world/en/automotive-iso-ts-16949-and-iatf-16949-certification.html"
01 104 110402/08,Aalberts Surface Technologies GmbHWerk DunningenPeter-Birk-Str. 278655 DunningenGermany,Heat Treatment of Serial and Special Parts out of Steel and Non-ferrous Metal and Galvanic Surface Finishing Wärmebehandlung von Serien- und Sonderteilen aus Stahl und NE-Metallen und galvanische Oberflächenveredelung,"ISO 14001 Management System ISO 14001 Standard for Environmental Management Systems ISO 14001 is a voluntary standard for environmental management systems, issued by ISO, the International Organization for Standardization. ISO 14001 provides a systematic approach for improving environmental performance, rather than simply meeting legal requirements. The environmental management system showing the TÜV Rheinland mark is audited and certified by TÜV Rheinland. Expert auditors analyse and evaluate the customers' organisation. If all necessary requirements are fulfilled, the organisation is certified according to ISO 14001. The environmental management system at the organisation is subject to periodic surveillance. Certified organisations may use the test mark in their communications. More information on this service: http://www.tuv.com/en/corporate/business_customers/management_system/environment_and_energy/iso14001/iso14001.jsp"
01 111 110402/07,Aalberts Surface Technologies GmbHWerk GaildorfWilhelm-Bott-Str. 2474405 GaildorfGermany,Heat Treatment of Serial- and Special Parts out of Steel and Non-ferrous Metal and galvanic surface finishing Wärmebehandlung von Serien- und Sonderteilen aus Stahl und NE-Metallen und galvanische Oberflächenveredelung,"IATF 16949 Standard for Quality Management Systems for the Automotive Supplier Industry The automotive QMS Standard, IATF 16949, is a quality management standard for the automotive supplier industry, issued by the International Automotive Task Force (IATF). IATF 16949, along with applicable automotive customer-specific requirements, ISO 9001:2015 requirements, and ISO 9000:2015 defines the fundamental quality management system requirements for automotive production and relevant service parts organizations. As such this Automotive QMS Standard cannot be considered a stand-alone QMS Standard but has to be comprehend as a supplement to and used in conjunction with ISO 9001:2015. ISO 9001:2015 is published as a separate ISO Standard. IATF 16949 outlines the requirements for product development, manufacture and, where applicable assembly. The certification always applies to one production site. Expert auditors analyze and evaluate the customers' organization. If all necessary requirements are fulfilled, the site is certified according to ISO TS 16949. The management system at the organisation is subject to periodic surveillance. Certified organizations may use the test mark in their communications. More information on this service: https://www.tuv.com/world/en/automotive-iso-ts-16949-and-iatf-16949-certification.html"
01 104 110402/07,Aalberts Surface Technologies GmbHWerk KehlWaseneckstr. 5b77694 KehlGermany,Heat Treatment of Serial and Special Parts out of Steel and Non-ferrous Metal Wärmebehandlung von Serien- und Sonderteilen aus Stahl und NE-Metallen,"ISO 14001 Management System ISO 14001 Standard for Environmental Management Systems ISO 14001 is a voluntary standard for environmental management systems, issued by ISO, the International Organization for Standardization. ISO 14001 provides a systematic approach for improving environmental performance, rather than simply meeting legal requirements. The environmental management system showing the TÜV Rheinland mark is audited and certified by TÜV Rheinland. Expert auditors analyse and evaluate the customers' organisation. If all necessary requirements are fulfilled, the organisation is certified according to ISO 14001. The environmental management system at the organisation is subject to periodic surveillance. Certified organisations may use the test mark in their communications. More information on this service: http://www.tuv.com/en/corporate/business_customers/management_system/environment_and_energy/iso14001/iso14001.jsp"
01 407 1312457,Aalberts Surface Technologies GmbHWalter-Freitag-Str. 2542899 RemscheidGermany,Heat Treatment of Serial and Special Parts out of Steel and Non-ferrous Metal and Galvanic Surface Finishing Wärmebehandlung von Serien- und Sonderteilen aus Stahl und NE-Metallen und galvanische Oberflächenveredelung,"ISO 50001 Standard for Energy Management Systems ISO 50001 is a voluntary, international standard for the evaluation and certification of energy management systems, issued by ISO, the International Organization for Standardization. ISO 50001 establishes a framework for industrial plants, commercial, institutional and governmental facilities, and entire organisations to manage energy and become more energy efficient. The energy management system showing the TÜV Rheinland mark is audited and certified by TÜV Rheinland. Expert auditors analyse and evaluate the customers' organisation. If all necessary requirements are fulfilled, the organisation is certified according to ISO 50001. The energy management system at the organisation is subject to periodic surveillance. Certified organisations may use the test mark in their communications. More information on this service here."
01 407 1312457/02,Aalberts Surface Technologies GmbHWerk RemscheidWalter-Freitag-Str. 2542899 RemscheidGermany,Heat Treatment of Serial and Special Parts out of Steel and Non-ferrous Metal Wärmebehandlung von Serien- und Sonderteilen aus Stahl und NE-Metallen,"ISO 50001 Standard for Energy Management Systems ISO 50001 is a voluntary, international standard for the evaluation and certification of energy management systems, issued by ISO, the International Organization for Standardization. ISO 50001 establishes a framework for industrial plants, commercial, institutional and governmental facilities, and entire organisations to manage energy and become more energy efficient. The energy management system showing the TÜV Rheinland mark is audited and certified by TÜV Rheinland. Expert auditors analyse and evaluate the customers' organisation. If all necessary requirements are fulfilled, the organisation is certified according to ISO 50001. The energy management system at the organisation is subject to periodic surveillance. Certified organisations may use the test mark in their communications. More information on this service here."
01 407 1312457/01,Aalberts Surface Technologies GmbHWalter-Freitag-Str. 2542899 RemscheidGermany,Group Headquarters Heat Treatment of Serial and Special Parts out of Steel and Non-ferrous Metal and Galvanic Surface Finishing Geschäftsleitung und Verwaltung der Gruppe Wärmebehandlung von Serien- und Sonderteilen aus Stahl und NE-Metallen und galvanische Oberflächenveredelung,"ISO 50001 Standard for Energy Management Systems ISO 50001 is a voluntary, international standard for the evaluation and certification of energy management systems, issued by ISO, the International Organization for Standardization. ISO 50001 establishes a framework for industrial plants, commercial, institutional and governmental facilities, and entire organisations to manage energy and become more energy efficient. The energy management system showing the TÜV Rheinland mark is audited and certified by TÜV Rheinland. Expert auditors analyse and evaluate the customers' organisation. If all necessary requirements are fulfilled, the organisation is certified according to ISO 50001. The energy management system at the organisation is subject to periodic surveillance. Certified organisations may use the test mark in their communications. More information on this service here."
01 407 1541881,Aalberts Surface Technologies HeatSp. z o.o.ul. Strefowa 558-200 DzierżoniówPoland,"Thermal and thermochemical processing of steel parts and non-ferrous metals, application of hard coatings as well as galvanic surface refinement. Wärme- und thermochemische Behandlung von Teilen aus Stahl und NE-Metallen, Hartstoffbeschichtung und galvanische Oberflächenveredelung Obróbka cieplna i cieplno-chemiczna elementów stalowych i metali nieżelaznych, nakładanie twardych powłok oraz uszlachetnianie powierzchni metodą galwaniczną","ISO 50001 Standard for Energy Management Systems ISO 50001 is a voluntary, international standard for the evaluation and certification of energy management systems, issued by ISO, the International Organization for Standardization. ISO 50001 establishes a framework for industrial plants, commercial, institutional and governmental facilities, and entire organisations to manage energy and become more energy efficient. The energy management system showing the TÜV Rheinland mark is audited and certified by TÜV Rheinland. Expert auditors analyse and evaluate the customers' organisation. If all necessary requirements are fulfilled, the organisation is certified according to ISO 50001. The energy management system at the organisation is subject to periodic surveillance. Certified organisations may use the test mark in their communications. More information on this service here."
01 104 1500547,Aalberts Surface Technologies HeatSp. z o.o.ul. Strefowa 558-200 DzierżoniówPoland,"Thermal and thermochemical processing of steel parts and non-ferrous metals, application of hard coatings as well as galvanic surface refinement Wärme- und thermochemische Behandlung von Teilen aus Stahl und NE-Metallen, Hartstoffbeschichtung und galvanische Oberflächenveredelung Obróbka cieplna i cieplno-chemiczna elementów stalowych i metali nieżelaznych, nakładanie twardych powłok oraz uszlachetnianie powierzchni metodą galwaniczną.","ISO 14001 Management System ISO 14001 Standard for Environmental Management Systems ISO 14001 is a voluntary standard for environmental management systems, issued by ISO, the International Organization for Standardization. ISO 14001 provides a systematic approach for improving environmental performance, rather than simply meeting legal requirements. The environmental management system showing the TÜV Rheinland mark is audited and certified by TÜV Rheinland. Expert auditors analyse and evaluate the customers' organisation. If all necessary requirements are fulfilled, the organisation is certified according to ISO 14001. The environmental management system at the organisation is subject to periodic surveillance. Certified organisations may use the test mark in their communications. More information on this service: http://www.tuv.com/en/corporate/business_customers/management_system/environment_and_energy/iso14001/iso14001.jsp"
